URN,SCHNAME,PCODE,TOTPUPS,AC5EM13,Easting,Northing
136468,Denbigh School,MK5 6EX,1388,80,483107,236985
136844,The Hazeley Academy,MK8 0PT,1461,71,481650,236327
110531,Lord Grey School,MK3 6EW,1464,54,485839,234073
135665,The Milton Keynes Academy,MK6 5LA,1267,53,486120,237569
136454,Oakgrove School,MK10 9JQ,1249,65,488622,238624
137052,Ousedale School,MK16 0BJ,2195,78,486822,243183
110532,The Radcliffe School,MK12 5BT,1145,59,480805,240797
110517,St Paul's Catholic School,MK6 5EN,1770,56,485623,237130
136730,Shenley Brook End School,MK5 7ZT,1521,68,483160,235011
138439,Sir Herbert Leon Academy,MK2 3HQ,676,49,487516,232076
110526,Stantonbury Campus,MK14 6BN,1984,53,484254,241007
136842,Walton High,MK7 7WH,1496,64,490091,236608
110567,The Webber Independent School,MK14 6DP,140,70,484790,241024