UID,Bachelor_Higher,Bachelor_Higher_m
6075010100,44.3,19.5
6075010200,58.8,30.8
6075010300,48.8,13.2
6075010400,35.9,26.1
6075010500,39.2,33.7
6075010600,34.1,23
6075010700,21.4,13.2
6075010800,51.3,25.8
6075010900,83,17
6075011000,52.6,25.3
6075011100,76.8,20.2
6075011200,47.1,24.8
6075011300,47.4,24.6
6075011700,22.5,18.4
6075011800,9,8.6
6075011901,24.2,13.1
6075011902,69.3,15.7
6075012000,23.2,15.5
6075012100,22.8,16.4
6075012201,20.2,24.5
6075012202,12.5,12.2
6075012301,10.3,9.3
6075012302,51.6,20.7
6075012401,24.9,17.5
6075012402,22.5,18.6
6075012501,0,22.7
6075012502,0,12
6075012601,11.9,35
6075012602,69.6,46.2
6075012700,19.2,20
6075012800,69.9,32.2
6075012901,83.1,26.4
6075012902,79,26.5
6075013000,87.2,18.4
6075013101,66.3,31.6
6075013102,42.2,35.6
6075013200,46.7,37.8
6075013300,33.8,25.8
6075013400,87,23.2
6075013500,57.7,22.1
6075015100,95.3,8.7
6075015200,83.9,18.3
6075015300,81.9,23.4
6075015400,77.3,17.7
6075015500,42.9,33.3
6075015600,37.3,19.7
6075015700,8.1,5
6075015801,25.2,23.2
6075015802,28.8,33.8
6075015900,23.5,15.2
6075016000,70.8,27.2
6075016100,50.2,22.7
6075016200,31.4,25.8
6075016300,63.2,23.9
6075016400,56.7,22.3
6075016500,25.7,17.2
6075016600,25.6,17.6
6075016700,56.8,18.1
6075016801,42.3,36.5
6075016802,43.7,25.9
6075016900,92,12.9
6075017000,50.6,50.6
6075017101,58.4,23.4
6075017102,38.3,26.8
6075017601,16.2,13.4
6075017700,17.9,16.8
6075017801,0,88.8
6075017802,25.6,22.4
6075017902,8.4,8.7
6075018000,19.5,15
6075020100,15.1,13.9
6075020200,53.6,26.7
6075020300,30.8,22.9
6075020401,71.2,25.4
6075020402,25,47.7
6075020500,69.3,44.2
6075020600,49.7,27.7
6075020700,68.7,27.8
6075020800,20.3,11.4
6075020900,35.4,16.8
6075021000,23.5,27.8
6075021100,15.7,19.9
6075021200,77.7,19.7
6075021300,58,20.7
6075021400,43.2,24.6
6075021500,15.3,22
6075021600,32.3,31.9
6075021700,36,29.2
6075021800,19.2,17
6075022600,100,100
6075022702,15.5,19.2
6075022704,62.9,28.6
6075022801,53.3,20.3
6075022802,10.9,15.4
6075022803,13.1,11.3
6075022901,38.3,25.2
6075022902,11,9.1
6075022903,27.6,23.1
6075023001,5.3,5.6
6075023003,5.9,6.3
6075023102,15.4,15.4
6075023103,0,9.9
6075023200,6.9,7.6
6075023300,26.7,15.7
6075023400,5.9,6
6075025100,11.1,16.1
6075025200,33.8,19.1
6075025300,37.9,22.2
6075025401,14.3,12.3
6075025402,8.8,7.1
6075025403,0,10.3
6075025500,22.4,12.8
6075025600,7.7,6.1
6075025701,11.7,9.6
6075025702,14.9,13.8
6075025800,9,13.2
6075025900,20.4,12.9
6075026001,14.6,9.2
6075026002,12.1,10.9
6075026003,19.2,12.4
6075026004,25.9,13.6
6075026100,11.6,8
6075026200,34,18.1
6075026301,29.6,19.8
6075026302,11,6.9
6075026303,29.4,10.4
6075026401,20.2,12.6
6075026402,12.2,10.2
6075026403,9.5,10.8
6075026404,11.1,7.8
6075030101,31.8,13.1
6075030102,20.4,7.5
6075030201,32.8,30.3
6075030202,24.8,31.4
6075030301,78.7,15.4
6075030302,35.4,21.9
6075030400,16.9,11
6075030500,30.2,35.2
6075030600,50.7,22.3
6075030700,40.6,19.4
6075030800,18.5,17.7
6075030900,33.2,29.4
6075031000,21.1,19.4
6075031100,21.4,17.9
6075031201,18.4,11
6075031202,22.1,8.8
6075031301,7.9,7.8
6075031302,7.6,7.9
6075031400,18.2,9.7
6075032601,34.6,22.3
6075032602,24.2,15.6
6075032700,24.2,15.3
6075032801,24.4,16.9
6075032802,8.8,9
6075032901,26.8,18
6075032902,31.5,25.1
6075033000,38.1,24.6
6075033100,44.7,17.3
6075033201,2.9,1.6
6075033203,17,13.6
6075033204,9,7.5
6075035100,26.7,16.6
6075035201,26,13.8
6075035202,26.1,18.7
6075035300,24,17.1
6075035400,16.2,16.5
6075040100,34.1,14.2
6075040200,39.7,26.4
6075042601,13.9,15.8
6075042602,28.4,17.8
6075042700,22.4,11.4
6075042800,38,28.6
6075045100,25.4,20.7
6075045200,49.1,27
6075047600,12.2,15.3
6075047701,23.6,21.5
6075047702,20.1,14.3
6075047801,28.2,17.9
6075047802,48.6,19
6075047901,12.7,13.3
6075047902,24.5,17.5
6075060100,63.2,35.2
6075060400,16.5,16.1
6075060502,3.1,3.2
6075060700,43.8,23.3
6075061000,25.4,20.5
6075061100,30.2,22.1
6075061200,1.5,2.5
6075061400,11.4,21.7
6075061500,28.5,18.8
6075980200,100,100
6075980300,-,**
6075980401,-,**
6075980501,17,22.2
6075980600,0,52
6075980900,100,100
6075990100,-,**