Code,Usual_Residents_2011
E01011698,1503
E01011699,1345
E01011701,1287
E01011702,1184
E01011703,1279
E01011697,2091
E01011700,1353
E01011704,1770
E01011705,1378
E01011581,1469
E01011582,1651
E01011583,1479
E01011584,1250
E01011569,1662
E01011571,1597
E01011572,1763
E01011573,1341
E01011574,1456
E01011707,1359
E01011709,1588
E01011710,1421
E01011711,1389
E01011712,1359
E01011561,1217
E01011696,1498
E01011706,1526
E01011708,1468
E01011713,1843
E01011570,2284
E01011576,1432
E01032503,1465
E01032504,1584
E01011266,2027
E01011270,1616
E01011279,1312
E01011280,1757
E01011265,1625
E01011267,1496
E01011271,2158
E01011272,1521
E01011268,1394
E01011273,1487
E01011274,1488
E01011275,1350
E01011264,1279
E01011269,1552
E01011276,1384
E01011578,1321
E01011554,1446
E01011562,1592
E01011563,1416
E01011564,1501
E01011567,1393
E01011376,1516
E01011377,1386
E01011378,1394
E01011382,1456
E01011277,1511
E01011278,1631
E01011579,1245
E01011580,1342
E01011556,1576
E01011557,1529
E01011565,1433
E01011566,1309
E01011568,1831
E01011380,1523
E01011381,1312
E01011385,1249
E01011386,1419
E01011379,1482
E01011384,1485
E01032501,1173
E01032502,1842
E01011555,1362
E01011558,1577
E01011559,1259
E01011560,1800
E01011383,1566
E01011388,1407
E01011684,1548
E01011695,1590
E01011650,1443
E01011651,1446
E01011653,1352
E01011655,1396
E01011455,1382
E01011456,1707
E01011459,1582
E01011461,1530
E01011311,1217
E01011649,1466
E01011715,1289
E01011719,1427
E01011509,1351
E01011511,1329
E01011512,1566
E01011515,1421
E01011516,1704
E01011508,1414
E01011517,1638
E01011652,1331
E01011654,1434
E01011505,1599
E01011506,1439
E01011507,1580
E01011510,1576
E01011514,1631
E01011452,1524
E01011454,1492
E01011457,1591
E01011458,1382
E01011465,1532
E01011453,1482
E01011460,1409
E01011462,1632
E01011463,1583
E01011464,1678
E01011714,1474
E01011716,1486
E01011717,1495
E01011718,1400
E01011720,1498
E01011296,1678
E01011297,1585
E01011309,1507
E01011310,1623
E01011513,2181
E01011688,1488
E01011689,1552
E01011691,1527
E01011504,1426
E01011641,1522
E01011642,1326
E01011645,1472
E01011484,1538
E01011485,1524
E01011686,1545
E01032493,1343
E01032494,1745
E01011350,1625
E01011351,1696
E01011352,1790
E01011353,1865
E01011656,1490
E01011657,1307
E01011659,1373
E01011661,1598
E01011643,1392
E01011644,1249
E01011646,1666
E01011647,1716
E01011648,1744
E01011354,1397
E01011355,1378
E01011357,1914
E01011450,1226
E01011588,1725
E01011589,1521
E01011590,1540
E01011592,1402
E01011593,1764
E01011421,1486
E01011425,1561
E01011658,1344
E01011660,1359
E01011662,1189
E01011721,1522
E01011722,1893
E01011723,1417
E01011724,1821
E01011356,1926
E01011358,1453
E01011359,1682
E01011360,2075
E01011361,2478
E01011435,1820
E01011440,1622
E01011441,1954
E01032945,3163
E01011477,1928
E01011480,1590
E01011488,1431
E01011489,1687
E01011324,2251
E01011325,1436
E01011326,1359
E01011332,1340
E01011423,1622
E01011424,1600
E01011427,1769
E01011431,1878
E01011422,1485
E01011426,1705
E01011428,1870
E01011429,2007
E01011663,1256
E01011664,1110
E01011665,1386
E01011667,1491
E01011323,1267
E01011329,1486
E01011330,1254
E01011333,1263
E01011327,1325
E01011328,1491
E01011335,1671
E01011591,1616
E01011430,1508
E01011432,1558
E01011433,1538
E01011434,1397
E01011445,1679
E01011446,1574
E01011447,1428
E01011448,1572
E01011449,1383
E01011670,2634
E01011671,1535
E01033002,1310
E01033003,1783
E01033005,3530
E01011478,1679
E01011479,1476
E01011481,1578
E01011482,1693
E01011483,1570
E01011406,1403
E01011407,1448
E01011408,1451
E01011409,1397
E01011410,1274
E01011412,1370
E01011331,1238
E01011334,1293
E01011336,1525
E01011337,1399
E01011281,1878
E01011282,1378
E01011283,1331
E01011286,1244
E01011295,1526
E01011339,1783
E01011340,1616
E01011342,1410
E01011346,1791
E01011341,1484
E01011343,1663
E01011345,1418
E01011666,1490
E01011585,1435
E01011587,1663
E01011594,1455
E01011596,1675
E01011598,1544
E01011678,4156
E01011681,1734
E01033006,3385
E01011338,1671
E01011673,1691
E01011677,1526
E01033031,1289
E01033035,1412
E01011344,1764
E01011347,1671
E01011348,1622
E01011349,1716
E01011586,1494
E01011595,1804
E01011597,1507
E01011599,1535
E01011287,1320
E01032499,1749
E01032500,1144
E01032606,1982
E01032607,1101
E01032608,1170
E01011608,1384
E01011609,1453
E01011610,1418
E01011611,1364
E01011614,1811
E01011413,1562
E01011415,1594
E01011416,1498
E01011417,1496
E01011420,1293
E01011615,1529
E01011617,1608
E01011618,1581
E01011621,1486
E01011284,1751
E01011292,1619
E01011293,1720
E01011294,1518
E01011363,1614
E01011616,1431
E01011620,1314
E01011622,1635
E01011624,1823
E01011411,1591
E01011414,1484
E01011418,1476
E01011419,1223
E01011396,1766
E01011399,1481
E01011400,1428
E01011403,1396
E01011623,1517
E01011625,1472
E01011626,1782
E01033021,1300
E01033033,1580
E01033034,1025
E01011602,1525
E01011603,1516
E01011605,1458
E01011606,1682
E01011613,1303
E01011397,1506
E01011398,1257
E01011401,1509
E01011404,1321
E01011405,1425
E01011725,1557
E01011729,1614
E01011730,1559
E01011735,1659
E01011600,1519
E01011601,1494
E01011604,1334
E01011607,1588
E01011612,1302
E01011726,1449
E01011727,1547
E01011728,1414
E01011739,1530
E01011362,1820
E01011731,1418
E01011732,1861
E01011733,1492
E01011366,1588
E01011368,1275
E01011370,1724
E01033013,1189
E01033032,1278
E01011734,2315
E01011736,1485
E01011737,1563
E01011738,1435
E01011364,1631
E01011371,1460
E01011373,1439
E01011374,1195
E01011312,1599
E01011316,1657
E01011372,1380
E01011375,1847
E01011390,1443
E01011391,1645
E01011392,1463
E01011402,1768
E01011298,1538
E01011299,2238
E01011302,1406
E01011303,1145
E01011300,1469
E01011301,1336
E01011304,1591
E01011305,1496
E01011306,1342
E01011315,1552
E01011317,1705
E01011318,1470
E01011321,1544
E01011369,1561
E01011313,1595
E01011314,1472
E01011319,1568
E01011320,1674
E01011322,1544
E01011471,1400
E01011472,1598
E01011473,1476
E01011474,1457
E01011518,2187
E01011524,1241
E01011526,1291
E01011531,1461
E01011466,1489
E01011469,1460
E01011475,1497
E01011476,1195
E01011519,1488
E01011522,1396
E01011525,1576
E01011528,1596
E01011532,1556
E01011520,1491
E01011521,1968
E01011523,1782
E01011527,1773
E01011529,1434
E01011635,1547
E01011637,1768
E01011638,1487
E01032487,1013
E01032488,1846
E01011627,1417
E01011628,1328
E01011629,1302
E01011632,1335
E01011633,1472
E01011490,2518
E01011502,1333
E01032497,1496
E01032498,1531
E01011496,1510
E01011630,2088
E01011634,1499
E01011636,1625
E01011639,1523
E01011491,1357
E01011492,1366
E01011493,1540
E01011494,1304
E01011497,1608
E01011540,1439
E01032489,1936
E01032490,1396
E01032491,1230
E01032492,1991
E01011307,1526
E01011308,1528
E01011393,1725
E01011394,1237
E01011395,1184
E01011533,1294
E01011541,1714
E01011545,1388
E01011547,1781
E01011499,2588
E01011500,1590
E01032495,2399
E01032496,2044
E01011530,1460
E01011534,1421
E01011546,1664
E01011548,1445
E01011550,1404
E01011537,2066
E01011538,1507
E01011551,1565
E01011552,1467
E01011535,1664
E01011536,1587
E01011549,1503
E01011553,1436
E01011685,2153
E01011687,1488
E01011690,1356
E01011692,1404
E01011693,1521
E01011694,1804
E01032876,2691
E01011442,1619
E01011443,1381
E01011444,1849
E01011451,2107
E01011668,1609
E01011669,1475
E01032946,2472
E01033008,1120
E01033010,2807
E01033011,1373
E01033015,1167
E01033016,1017
E01011467,1542
E01011468,1500
E01011470,1266
E01033018,1137
E01033019,1700